"Run","Run ID","metric","step","timestamp","value"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","19536","1779548559799","2.639478921890259"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","19928","1779548648163","2.7744791507720947"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","20320","1779548736209","2.6410086154937744"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","20712","1779548824670","2.757835626602173"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","21104","1779548912797","2.5826027393341064"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","21496","1779549001617","2.763685941696167"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","21880","1779549087751","2.567087411880493"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","22272","1779549175692","2.5569918155670166"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","22664","1779549264051","2.509690999984741"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","23056","1779549351990","2.6824185848236084"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","23448","1779549440696","2.5012075901031494"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","23840","1779549528811","2.543133020401001"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","24224","1779549637061","2.3451077938079834"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","24616","1779549725415","2.4245660305023193"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","25008","1779549813406","2.36395001411438"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","25400","1779549901731","2.482430934906006"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","25792","1779549989767","2.469365358352661"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","26184","1779550078852","2.306124687194824"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","26568","1779550165072","2.353771686553955"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","26960","1779550252986","2.3894336223602295"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","27352","1779550341431","2.243840217590332"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","27744","1779550429371","2.262258768081665"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","28136","1779550517737","2.234515905380249"
