"Run","Run ID","metric","step","timestamp","value"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","19944","1779640611734","3.2451512813568115"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","20312","1779640695177","3.2942442893981934"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","20672","1779640776890","3.2298669815063477"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","21032","1779640858529","3.2273218631744385"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","21400","1779640942014","3.301624298095703"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","21760","1779641023854","3.45593523979187"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","22120","1779641105388","3.218065023422241"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","22488","1779641188870","3.169689655303955"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","22848","1779641270401","3.242579460144043"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","23208","1779641352400","3.164346933364868"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","23576","1779641435999","3.2120046615600586"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","23936","1779641517718","3.0954575538635254"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","24296","1779641599637","3.0725808143615723"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","24664","1779641683313","3.0073025226593018"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","25024","1779641764976","3.177574396133423"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","25384","1779641846625","3.178586483001709"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","25752","1779641930075","3.190927505493164"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","26112","1779642011600","3.216773748397827"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","26472","1779642093292","3.114799976348877"
"waitk-student","e3576becbb304f528584daf0fd3c7e1d","loss.dataset_ce","26840","1779642176611","3.1025004386901855"
